Müller;Berufsbezeichnung[1][2]
Schmidt;Berufsbezeichnung (alle homophonen Schreibvarianten zusammen ergäben Platz 1)
Schneider;Berufsbezeichnung
Fischer;Berufsbezeichnung
Weber;Berufsbezeichnung
Meyer;Standesbezeichnung (alle homophonen Schreibvarianten zusammen ergäben Platz 2)
Wagner;Berufsbezeichnung
Becker;Berufsbezeichnung, Wohnstättenname
Schulz;Standesbezeichnung
Hoffmann;Berufsbezeichnung, Wohnstättenname
Schäfer;Berufsbezeichnung
Koch;Berufsbezeichnung
Bauer;Berufsbezeichnung
Richter;Berufsbezeichnung
Klein;Eigenschaft („Der Kleine“)
Wolf;meist von Vornamen abgeleitet (Wolfgang, Wolfhard etc.), oft auch Übername
Schröder;Berufsbezeichnung
Neumann;Eigenschaft („Der Neue“)
Schwarz;Eigenschaft („Der Schwarzhaarige“)
Zimmermann;Berufsbezeichnung
Braun;Eigenschaft („Der Braunhaarige“) oder von Vornamen abgeleitet (Brunhold)
Krüger;Berufsbezeichnung
Hofmann;Berufsbezeichnung
Hartmann;Vorname
Lange;Eigenschaft („Der Große“)
Schmitt;Berufsbezeichnung
Werner;Vorname
Schmitz;Berufsbezeichnung
Krause;Eigenschaft
Meier;Standesbezeichnung
Lehmann;Standesbezeichnung
Schmid;Berufsbezeichnung
Schulze;Standesbezeichnung
Maier;Berufsbezeichnung
Köhler;Berufsbezeichnung
Herrmann;Vorname
König;Übername, Hausname
Walter;Vorname
Mayer;Standesbezeichnung
Huber;Standesbezeichnung
Kaiser;Übername, Hausname
Fuchs;Übername
Peters;Vorname
Lang;Eigenschaft
Scholz;Standesbezeichnung
Möller;Berufsbezeichnung
Weiß;Eigenschaft
Jung;Eigenschaft
Hahn;Übername
Schubert;Berufsbezeichnung (Schuhmacher)
Vogel;Übername, Hausname
Friedrich;Vorname
Keller;Berufsbezeichnung
Günther;Vorname
Frank;Herkunft (aus Franken)
Berger;Wohnstättenname
Winkler;Berufsbezeichnung
Roth;Übername, Wohnstättenname
Beck;Berufsbezeichnung (Bäcker) oder Wohnstättenname (Bach)
Lorenz;Vorname
Baumann;Berufsbezeichnung (Bauer)
Franke;Herkunft (aus Franken)
Albrecht;Vorname
Schuster;Berufsbezeichnung
Simon;Vorname
Ludwig;Vorname
Böhm;Herkunft (aus Böhmen)
Winter;Übername
Kraus;Eigenschaft
Martin;Vorname
Schumacher;Berufsbezeichnung
Krämer;Berufsbezeichnung (Kleinhändler)
Vogt;Standesbezeichnung (advocatus, Verwalter)
Stein;Wohnstättenname
Jäger;Berufsbezeichnung
Otto;Vorname
Sommer;sozial bedingte Beziehung zur Jahreszeit
Groß;Eigenschaft
Seidel;Standesbezeichnung (Siedler)
Heinrich;Vorname
Brandt;Personenname (Hildebrand, Gerbrand, Wolbrand etc.)
Haas;Hausname, Übername für den Jäger
Schreiber;Berufsbezeichnung
Graf;Standesbezeichnung (Aufsichtsbeamter), Übername
Schulte;Standesbezeichnung (Schultheiß)
Dietrich;Vorname
Ziegler;Berufsname (Ziegelbrenner)
Kuhn;Abkürzung des Vornamens Konrad
Kühn;Eigenschaft
Pohl;Herkunft aus Polen; Beziehung zu Polen
Engel;Vorname, Hausname
Horn;Wohnstättenname, Herkunftsbezeichnung
Busch;Wohnstättenname
Bergmann;Wohnstättenname (am Berg wohnend), Berufsbezeichnung
Thomas;Vorname
Voigt;Standesbezeichnung (advocatus, Verwalter)
Sauer;Eigenschaft (böse, grimmig)
Arnold;Vorname
Wolff;Übername oder von Vornamen (Wolfgang, Wolfhard etc.) abgeleitet
Pfeiffer;Berufsbezeichnung (Spielmann)
